"","participant","predicate","predicate_number","response"
"1130",38,"pretend",15,0.15
"1131",38,"prove",2,0.16
"1132",38,"reveal",3,0.83
"1133",38,"see",19,0.88
"1135",38,"be right",6,0.03
"1139",38,"say",8,0.16
"1140",38,"confess",20,0.57
"1141",38,"inform",12,1
"1142",38,"be annoyed",9,1
"1143",38,"demonstrate",18,0.29
"1173",39,"confess",20,0.5
"1174",39,"know",11,0.76
"1176",39,"confirm",4,0
"1178",39,"admit",13,0
"1179",39,"inform",12,0.51
"1181",39,"pretend",15,0.53
"1182",39,"say",8,0
"1183",39,"announce",10,0
"1184",39,"see",19,0.08
"1185",39,"acknowledge",5,0.5
"1186",39,"suggest",17,0.03
"1187",39,"hear",16,0.5
"1188",39,"be annoyed",9,0.8
"1189",39,"discover",14,0
"1190",39,"reveal",3,0.48
"1192",39,"think",7,0
"1193",39,"prove",2,0
"1194",39,"establish",1,0.19
"1195",39,"be right",6,0
"1196",39,"demonstrate",18,0.18
"1197",40,"announce",10,0.96
"1198",40,"establish",1,0.06
"1199",40,"demonstrate",18,0.14
"1200",40,"confirm",4,0.14
"1201",40,"reveal",3,0.88
"1204",40,"say",8,0.06
"1205",40,"pretend",15,0.13
"1207",40,"be right",6,0.01
"1208",40,"see",19,0.18
"1209",40,"admit",13,0.52
"1210",40,"inform",12,0.99
"1211",40,"be annoyed",9,0.97
"1212",40,"confess",20,0.51
"1213",40,"know",11,0.8
"1214",40,"suggest",17,0.11
"1216",40,"discover",14,0.69
"1218",40,"hear",16,0.62
"1219",40,"prove",2,0.03
"1220",40,"acknowledge",5,0.28
"1222",40,"think",7,0.02
"1223",41,"reveal",3,0.08
"1224",41,"discover",14,0.1
"1226",41,"pretend",15,0.09
"1227",41,"say",8,0.1
"1228",41,"establish",1,0.07
"1229",41,"hear",16,0.11
"1231",41,"prove",2,0.06
"1232",41,"demonstrate",18,0.05
"1233",41,"admit",13,0.05
"1234",41,"be annoyed",9,0.23
"1235",41,"see",19,0.07
"1236",41,"acknowledge",5,0.06
"1238",41,"know",11,0.86
"1239",41,"be right",6,0.11
"1243",41,"confirm",4,0.17
"1244",41,"announce",10,0.12
"1245",41,"suggest",17,0.1
"1246",41,"inform",12,0.33
"1247",41,"confess",20,0.12
"1248",41,"think",7,0.08
"1250",42,"hear",16,0.14
